Chn,Identifier,DLC,D0,D1,D2,D3,D4,D5,D6,D7,Time,Dir
0,121,4,2,0,0,0,,,,,0.2519,R
0,C9,8,B5,5E,7,0,0,0,0,0,0.25975,R
0,191,8,0,0,0,0,0,0,0,0,0.26001,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.26026,R
0,1C3,8,BA,5E,7,0,0,0,0,0,0.26052,R
0,199,8,0,0,0,0,0,0,0,FF,0.26086,R
0,F9,8,0,0,0,0,0,0,FF,0,0.26112,R
0,C9,8,C9,5E,7,0,0,0,0,0,0.26973,R
0,191,8,0,0,0,0,0,0,0,0,0.26999,R
0,2C3,8,FB,5E,7,0,0,0,0,0,0.27025,R
0,199,8,0,0,0,0,0,0,0,FF,0.2734,R
0,F9,8,0,0,0,0,0,0,FF,0,0.27366,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.27392,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.27417,R
0,C9,8,0A,5F,7,0,0,0,0,0,0.2798,R
0,191,8,0,0,0,0,0,0,0,0,0.28006,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.28219,R
0,1C3,8,10,5F,7,0,0,0,0,0,0.28236,R
0,199,8,0,0,0,0,0,0,0,FF,0.28646,R
0,F9,8,0,0,0,0,0,0,FF,0,0.28672,R
0,C9,8,1E,5F,7,0,0,0,0,0,0.28979,R
0,191,8,0,0,0,0,0,0,0,0,0.29004,R
0,199,8,0,0,0,0,0,0,0,FF,0.29909,R
0,F9,8,0,0,0,0,0,0,FF,0,0.29926,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.29952,R
0,C9,8,2D,5F,7,0,0,0,0,0,0.29977,R
0,191,8,0,0,0,0,0,0,0,0,0.30003,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.30028,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.3054,R
0,1C3,8,34,5F,7,0,0,0,0,0,0.30566,R
0,C9,8,41,5F,7,0,0,0,0,0,0.30976,R
0,191,8,0,0,0,0,0,0,0,0,0.31001,R
0,199,8,0,0,0,0,0,0,0,FF,0.31206,R
0,F9,8,0,0,0,0,0,0,FF,0,0.31232,R
0,C9,8,50,5F,7,0,0,0,0,0,0.31974,R
0,191,8,0,0,0,0,0,0,0,0,0.32,R
0,2C3,8,82,5F,7,0,0,0,0,0,0.32025,R
0,3C1,8,E6,5F,7,0,0,0,0,0,0.32051,R
0,3D1,8,AE,60,7,0,0,0,0,0,0.32076,R
0,3E9,8,4A,60,7,0,0,0,0,0,0.32102,R
0,199,8,0,0,0,0,0,0,0,FF,0.32469,R
0,F9,8,0,0,0,0,0,0,FF,0,0.32494,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.32512,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.32537,R
0,C9,8,F5,5F,7,0,0,0,0,0,0.32981,R
